,COMPOUND_ID,SOURCES,PCT_IHB_3D7,PCT_INHB_DD2,PCT_INHIB_3D7_PFLDH,pXC50_3D7,SMILES
77,538310,"TCMDC-136939, 638310 (CHEMBL)",90.0,34.0,1.0,5.97648,c1ccc2c(c1)[nH]c(n2)c3ccc(s3)c4ccc(cc4)NC(=O)Cc5c[nH]cn5
78,538395,"TCMDC-140157, 638395 (CHEMBL)",99.0,99.0,1.0,6.25229,c1cc(cc(c1)F)CNC(=O)c2ccc(c(c2)c3cc(cc(c3)Cl)Cl)O
79,507894,"TCMDC-123498, 607894 (CHEMBL), COMMERCIAL",100.0,99.0,0.0,6.70631,CCN(CC)CCNc1ccc(cc1)Nc2ccnc3c2cc4ccccc4c3
80,539245,"TCMDC-141436, 639245 (CHEMBL)",97.0,56.0,0.0,6.13241,COc1ccc2c(n1)c(ccn2)[C@H](CN3CCC(CC3)c4cc([nH]n4)c5ccc(cc5)Cl)O
81,542148,"TCMDC-133842, 642148 (CHEMBL)",100.0,91.0,4.0,6.85392,CN1CCC(CC1)N2CCN(CC2)Cc3cccc(c3)c4ccc(cc4)c5[nH]c6ccc(cc6n5)C(F)(F)F.C(=O)(C(F)(F)F)O
82,539330,"TCMDC-133766, 639330 (CHEMBL)",86.0,45.0,0.0,6.06119,CC(=O)c1cccc(c1)Nc2[nH]c3c(n2)ccc(c3C#N)OCc4cc(cc(c4)Cl)Cl
83,539362,"TCMDC-136714, 639362 (CHEMBL)",86.0,45.0,0.0,6.02345,c1ccc(cc1)COc2ccc(cc2)COc3ccc(cc3)Cn4ccnc4
84,539402,"TCMDC-123854, 639402 (CHEMBL), COMMERCIAL",100.0,72.0,0.0,6.17323,c1ccc(cc1)Nc2nc(nc(n2)NN=Cc3cc(cc(c3O)Cl)Cl)Nc4ccc(cc4)N(=O)=O
85,538808,"TCMDC-133807, 638808 (CHEMBL)",93.0,97.0,0.0,5.86602,CCn1c2c(cnc(c2nc1c3c(non3)N)c4ccc(o4)CO)OCCCN.C(=O)(C(F)(F)F)O
86,538846,"TCMDC-133396, 638846 (CHEMBL)",100.0,100.0,0.0,6.26564,c1cc2c(cc1c3ccncc3)c(ncc2c4ccc5c(c4)cc[nH]5)N
87,541984,"TCMDC-139971, 641984 (CHEMBL)",93.0,74.0,1.0,5.99504,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)NC(=O)C4CCN(CC4)C(=O)CSc5ccccc5)C
88,538889,"TCMDC-134302, 638889 (CHEMBL)",92.0,63.0,4.0,5.9719,Cc1c(nc(s1)N2CCN(CC2)C)C(=O)Nc3ccc(cc3C(F)(F)F)F.C(=O)(C(F)(F)F)O
89,538926,"TCMDC-136482, 638926 (CHEMBL)",97.0,74.0,0.0,6.11693,CN1CCCN(CC1)Cc2cccc(c2)c3cccc(c3)NS(=O)(=O)c4cccc5c4nccc5.C(=O)(C(F)(F)F)O
90,538929,"TCMDC-133973, 638929 (CHEMBL)",89.0,81.0,0.0,5.98248,CC(C)CCN1CCC(CC1)Oc2ccc(cc2Cl)NC(=O)c3ccsc3.C(=O)(C(F)(F)F)O
91,538968,"TCMDC-132090, 638968 (CHEMBL)",98.0,9.0,1.0,6.09553,CN(C)CCCc1cc(ccc1OC)C(=O)Nc2ccc(cc2)c3ccc(cc3)N(=O)=O.Cl
92,543105,"TCMDC-139993, 643105 (CHEMBL)",96.0,58.0,4.0,6.7314,CN(C1CCN(CC1)CCCCCNC(=O)/C=C/c2ccc(c(c2)Cl)Cl)C(=O)c3c(nns3)c4ccccc4
93,539011,"TCMDC-136620, 639011 (CHEMBL)",98.0,48.0,4.0,6.04953,CCc1c(c(c2cnn(c2n1)CC)NC3CCOCC3)CNC(=O)N4CCOCC4
94,539095,"TCMDC-141825, 639095 (CHEMBL)",91.0,9.0,0.0,6.04925,CC(C)CN1CCCN(CC1)Cc2cccc(c2)NC(=O)c3ccc(c(c3)Cl)Cl.C(=O)(C(F)(F)F)O
95,539211,"TCMDC-124865, 639211 (CHEMBL), COMMERCIAL",90.0,94.0,0.0,6.15847,Cc1cc(no1)C(=O)Nc2ccc(cc2)c3ccccc3
96,542766,"TCMDC-139912, 642766 (CHEMBL)",98.0,43.0,0.0,6.01719,c1ccc(c(c1)C=CC(=O)N2CCC(CC2)CN3CCC(CC3)c4c[nH]c5c4cccc5)O
97,541626,"TCMDC-134315, 641626 (CHEMBL)",100.0,100.0,0.0,6.22812,Cc1c2cc(ccc2[nH]n1)c3ccc4c(c3)c(ccn4)N5CCC(CC5)N.Cl
98,539251,"TCMDC-133901, 639251 (CHEMBL)",100.0,99.0,0.0,6.22998,Cc1cccc2c1[nH]c(n2)c3ccc(cc3)c4ccc(cc4)CN5CCCCC5.C(=O)(C(F)(F)F)O
99,539293,"TCMDC-133032, 639293 (CHEMBL)",100.0,61.0,0.0,6.2161,c1cc(cc(c1)c2[nH]c3ccc(cc3n2)F)c4ccc(cc4)CN5CCN(CC5)CCO.C(=O)(C(F)(F)F)O
100,539299,"TCMDC-124373, 639299 (CHEMBL), COMMERCIAL",99.0,96.0,0.0,6.23047,CCn1c(nnc1SCC(=O)N2c3ccccc3Sc4c2cccc4)Cc5ccccc5
101,541633,"TCMDC-141585, 641633 (CHEMBL)",98.0,74.0,0.0,6.27457,Cn1c2c(cnc(n2)NCCCCN3CCCC3)c(n1)c4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F.C(=O)(C(F)(F)F)O
102,474990,"TCMDC-135511, 574990 (CHEMBL)",99.0,95.0,2.0,6.07347,CS(=O)(=O)CCNCc1ccc([nH]1)c2cc3c(ncnc3s2)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
103,539332,"TCMDC-124238, 639332 (CHEMBL), COMMERCIAL",100.0,100.0,0.0,6.55719,Cc1cc(c2cc(ccc2n1)OC)Nc3ccc(c(c3)Cl)Oc4ccc(c5c4cccc5)Br
104,542246,"TCMDC-134939, 642246 (CHEMBL)",93.0,5.0,1.0,5.96205,CC(C)(C(=O)N)Oc1c(ccc2c1CCCC2)C3CCN(CC3)CCCCNC(=O)c4ccc(cc4)c5ccc(cc5)Cl
